               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.050761,            0.010632,            0.006417,               0.922,             0.86667,             0.96859,             0.58237,            0.045057,           0.0088885,            0.005964,           0.0066736,           0.0066736,           0.0066736
                  86,            0.053117,             0.01342,           0.0090714,             0.42504,             0.79328,             0.76656,             0.31956,             0.06398,           0.0087546,           0.0059165,            0.006634,            0.006634,            0.006634
                  87,            0.066098,           0.0090736,           0.0070135,             0.42504,             0.79328,             0.76656,             0.31956,             0.06398,           0.0087546,           0.0059165,           0.0065944,           0.0065944,           0.0065944
                  88,            0.058258,            0.010858,           0.0063184,             0.68747,             0.94635,             0.92448,             0.58244,            0.038849,           0.0090732,           0.0057108,           0.0065548,           0.0065548,           0.0065548
                  89,             0.04599,            0.010294,             0.00761,             0.68747,             0.94635,             0.92448,             0.58244,            0.038849,           0.0090732,           0.0057108,           0.0065152,           0.0065152,           0.0065152
                  90,             0.04546,            0.010797,           0.0058552,              0.7996,             0.93333,             0.95353,             0.62035,            0.039156,           0.0089495,           0.0054265,           0.0064756,           0.0064756,           0.0064756
                  91,             0.04797,            0.011823,           0.0068543,              0.7996,             0.93333,             0.95353,             0.62035,            0.039156,           0.0089495,           0.0054265,            0.006436,            0.006436,            0.006436
                  92,            0.048073,            0.012355,           0.0062929,             0.82709,             0.96244,              0.9786,             0.66813,            0.041242,           0.0086835,           0.0053162,           0.0063964,           0.0063964,           0.0063964
                  93,            0.046493,            0.011165,           0.0057787,             0.92642,             0.85403,              0.9806,             0.52526,            0.049117,           0.0084452,           0.0051094,           0.0063568,           0.0063568,           0.0063568
                  94,            0.061299,           0.0098382,           0.0058139,             0.92642,             0.85403,              0.9806,             0.52526,            0.049117,           0.0084452,           0.0051094,           0.0063172,           0.0063172,           0.0063172
                  95,             0.05542,            0.011176,           0.0059182,             0.65395,             0.69664,             0.81371,             0.47021,            0.047101,           0.0086275,           0.0049708,           0.0062776,           0.0062776,           0.0062776
                  96,            0.056552,           0.0096798,           0.0060528,             0.65395,             0.69664,             0.81371,             0.47021,            0.047101,           0.0086275,           0.0049708,            0.006238,            0.006238,            0.006238
                  97,            0.049857,            0.011838,           0.0057255,             0.84228,                 0.9,             0.95785,               0.644,             0.04035,           0.0086802,           0.0047774,           0.0061984,           0.0061984,           0.0061984
                  98,             0.04762,            0.011575,           0.0058784,             0.84228,                 0.9,             0.95785,               0.644,             0.04035,           0.0086802,           0.0047774,           0.0061588,           0.0061588,           0.0061588
                  99,            0.050804,            0.012367,           0.0054789,             0.85696,             0.98383,             0.94715,             0.64496,             0.03911,           0.0086811,           0.0047047,           0.0061192,           0.0061192,           0.0061192
                 100,            0.045396,            0.011389,           0.0056795,             0.89732,             0.86358,             0.96444,             0.50884,            0.053348,           0.0081539,           0.0045457,           0.0060796,           0.0060796,           0.0060796
                 101,            0.058638,           0.0097189,           0.0053302,             0.89732,             0.86358,             0.96444,             0.50884,            0.053348,           0.0081539,           0.0045457,             0.00604,             0.00604,             0.00604
                 102,            0.054702,            0.010131,           0.0051508,             0.83166,             0.83333,             0.93429,             0.57041,            0.040338,           0.0086229,           0.0044806,           0.0060004,           0.0060004,           0.0060004
                 103,            0.046604,             0.01176,           0.0055514,             0.83166,             0.83333,             0.93429,             0.57041,            0.040338,           0.0086229,           0.0044806,           0.0059608,           0.0059608,           0.0059608
                 104,            0.045027,           0.0096908,           0.0051835,              0.9811,             0.99397,               0.995,             0.68796,            0.033623,           0.0086573,           0.0045218,           0.0059212,           0.0059212,           0.0059212
                 105,            0.041012,            0.010712,           0.0066725,              0.9811,             0.99397,               0.995,             0.68796,            0.033623,           0.0086573,           0.0045218,           0.0058816,           0.0058816,           0.0058816
                 106,            0.041771,            0.012072,           0.0072877,             0.94899,             0.99143,             0.99313,             0.63503,            0.034003,           0.0085855,           0.0044932,            0.005842,            0.005842,            0.005842
                 107,            0.041003,            0.011032,           0.0050457,             0.81816,             0.76667,             0.87238,             0.26923,            0.063733,           0.0080178,           0.0042501,           0.0058024,           0.0058024,           0.0058024
                 108,            0.064056,            0.012095,           0.0048963,             0.81816,             0.76667,             0.87238,             0.26923,            0.063733,           0.0080178,           0.0042501,           0.0057628,           0.0057628,           0.0057628
                 109,            0.059639,            0.011696,           0.0052413,             0.74885,             0.93333,             0.91745,             0.63961,            0.038076,           0.0083535,           0.0043564,           0.0057232,           0.0057232,           0.0057232
                 110,            0.046079,            0.012645,           0.0050631,             0.74885,             0.93333,             0.91745,             0.63961,            0.038076,           0.0083535,           0.0043564,           0.0056836,           0.0056836,           0.0056836
                 111,            0.045387,            0.012514,           0.0053441,              0.8188,                   1,             0.98014,             0.75008,            0.039955,           0.0077798,           0.0043939,            0.005644,            0.005644,            0.005644
                 112,             0.04638,            0.011687,           0.0052786,              0.8188,                   1,             0.98014,             0.75008,            0.039955,           0.0077798,           0.0043939,           0.0056044,           0.0056044,           0.0056044
                 113,            0.044343,            0.011962,           0.0051837,             0.83135,             0.98558,             0.96065,             0.72556,            0.036261,           0.0079611,           0.0043789,           0.0055648,           0.0055648,           0.0055648
                 114,            0.040541,            0.010433,            0.005854,             0.88863,             0.98563,             0.96875,             0.68346,            0.042181,           0.0075331,           0.0042401,           0.0055252,           0.0055252,           0.0055252
                 115,            0.048436,            0.011379,           0.0052618,             0.88863,             0.98563,             0.96875,             0.68346,            0.042181,           0.0075331,           0.0042401,           0.0054856,           0.0054856,           0.0054856
                 116,            0.051863,            0.010965,           0.0047107,             0.91385,             0.95162,             0.96356,             0.59808,            0.043117,           0.0077426,            0.004236,            0.005446,            0.005446,            0.005446
